Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
36,41,50,50,50,28,7,47,50
33,46,27,47,48,46,47,28,48
33,39,23,37,38,30,16,23,39
33,33,31,34,35,21,19,22,35
28,28,19,25,27,15,28,7,28
37,39,19,40,39,22,40,38,40
27,39,18,33,38,37,16,33,39
34,37,20,36,37,29,30,35,37
27,36,33,40,40,30,34,37,40
23,29,26,29,29,25,16,13,29
16,43,26,44,43,44,24,16,44
27,31,25,24,29,27,21,23,31
17,40,16,38,37,40,7,39,40
24,32,16,31,33,31,18,24,33
33,33,33,32,35,13,28,15,35
29,37,17,33,37,31,22,26,37
49,50,50,49,52,48,10,50,52
49,54,42,56,56,28,11,27,56
49,36,35,52,54,50,23,48,54
23,30,19,29,29,21,11,12,30
34,38,28,38,39,26,24,30,39
22,35,33,34,35,18,31,4,35
29,29,19,27,28,16,19,10,29
2,26,19,31,32,32,20,20,32
33,30,20,30,34,21,31,3,34
28,33,19,33,33,26,25,32,33
31,34,20,36,36,35,20,34,36
35,35,22,35,37,37,8,4,37
34,39,21,39,40,37,19,38,40
23,28,25,27,27,28,24,6,28
25,34,20,35,38,37,8,21,38
28,30,30,33,32,17,30,4,33
42,42,42,41,40,30,21,29,42
31,31,31,30,31,27,9,21,31
34,33,20,30,34,15,11,34,34
45,53,33,48,52,17,17,23,53
45,46,26,42,46,44,32,40,46
48,55,23,52,56,47,34,14,56
33,32,39,39,41,16,9,29,41
61,61,17,49,59,46,37,55,61
21,26,22,26,23,24,26,15,26
21,31,21,25,32,20,13,21,32
17,33,23,32,34,23,11,24,34
34,35,24,36,35,18,18,24,36
4,31,31,31,28,29,21,26,31
35,35,19,36,35,30,13,30,36
44,42,43,41,46,41,24,21,46
59,62,22,58,63,37,9,58,63
1,28,22,29,28,24,24,9,29
39,38,32,38,36,20,39,31,39
32,38,26,37,37,33,16,23,38
20,26,25,26,25,25,25,14,26
32,35,21,32,34,35,10,32,35
13,33,29,33,34,33,25,11,34
10,27,19,29,26,27,10,12,29
38,39,28,39,40,29,30,8,40
31,36,19,35,33,34,20,18,36
33,34,20,40,42,16,25,20,42
22,28,17,31,30,22,29,15,31
28,35,27,34,35,32,33,28,35
27,28,20,26,25,17,24,20,28
42,48,19,37,44,43,13,43,48
31,43,28,43,43,43,18,22,43
33,37,34,37,35,19,6,20,37
50,47,25,51,49,34,27,40,51
24,30,24,29,30,30,6,22,30
23,33,24,28,34,30,9,32,34
34,34,20,35,32,28,33,30,35
44,42,20,39,44,24,14,43,44
32,32,25,32,29,31,18,10,32
38,37,34,35,39,28,28,39,39
29,29,29,31,31,31,26,29,31
15,27,15,25,24,26,17,27,27
26,26,17,28,27,14,16,19,28
22,34,27,33,34,32,31,32,34
14,32,18,31,31,29,32,11,32
30,31,30,20,31,29,18,25,31
41,39,23,37,39,15,31,38,41
47,48,29,41,48,17,34,37,48
39,50,44,48,49,16,10,45,50
25,44,27,48,47,44,48,33,48
31,37,19,36,39,34,12,37,39
24,30,30,29,30,22,4,15,30
33,28,28,32,31,21,28,30,33
31,47,35,44,47,35,33,47,47
39,41,32,39,41,33,34,22,41
31,36,25,35,39,12,7,26,39
46,45,29,46,44,32,16,38,46
16,23,21,23,22,17,8,23,23
28,28,24,28,28,23,17,12,28
30,34,20,34,34,30,21,21,34
29,29,27,27,28,28,29,27,29
40,34,35,39,37,38,8,34,40
38,38,24,36,39,25,14,18,39
36,35,22,34,36,26,11,34,36
30,34,30,34,35,35,16,8,35
28,27,26,26,28,15,23,21,28
20,28,22,26,28,26,10,22,28
34,37,37,37,36,37,25,34,37
48,37,27,51,52,51,44,32,52
30,31,24,33,33,23,14,24,33
22,23,18,23,23,17,22,10,23
51,60,23,58,59,48,29,60,60
15,25,16,24,24,24,11,21,25
37,34,29,37,36,36,37,11,37
26,29,25,29,23,12,7,29,29
26,34,27,35,39,36,36,31,39
29,30,29,28,30,30,23,24,30
47,45,44,39,45,35,33,44,47
33,32,33,33,33,15,15,33,33
34,37,19,33,37,30,11,32,37
23,28,27,27,28,26,14,5,28
25,31,23,31,30,20,31,31,31
40,49,49,49,47,49,22,9,49
37,35,35,37,37,32,20,25,37
30,37,22,32,36,27,37,35,37
42,50,29,56,57,44,38,36,57
35,47,47,46,47,27,38,45,47
30,34,28,34,33,23,9,30,34
24,26,21,27,24,23,22,21,27
20,31,28,31,30,21,12,31,31
36,38,21,38,38,38,35,32,38
38,39,26,39,41,19,37,34,41
32,36,21,35,36,29,13,34,36
33,37,20,37,38,21,30,35,38
17,33,32,28,32,16,16,28,33
23,31,30,30,31,24,10,2,31
20,27,19,27,27,22,27,26,27
21,29,29,29,32,32,19,24,32
40,41,37,37,38,29,9,33,41
35,42,38,42,41,25,16,39,42
33,36,31,37,36,24,19,34,37
47,45,38,39,46,34,13,47,47
23,27,28,27,29,13,25,9,29
35,35,35,38,37,27,27,33,38
27,26,26,26,27,22,11,15,27
29,29,14,29,29,22,18,3,29
18,34,18,32,35,35,11,26,35
42,44,35,44,45,33,40,45,45
31,37,37,38,38,19,18,36,38
28,32,28,32,33,33,26,32,33
24,36,29,35,36,26,32,31,36
31,31,20,27,30,12,29,7,31
44,55,30,51,54,40,13,21,55
36,34,29,37,36,33,32,37,37
57,45,46,49,58,50,10,40,58
62,63,39,66,66,29,40,60,66
30,33,22,32,34,28,18,2,34
32,31,27,30,33,33,33,23,33
40,38,23,34,41,29,29,7,41
28,39,33,32,40,31,36,37,40
19,24,21,24,22,14,22,21,24
17,31,24,29,30,30,27,29,31
46,46,37,44,44,39,42,41,46
18,31,17,30,32,30,14,32,32
19,26,26,26,26,12,21,26,26
15,26,21,24,26,23,9,21,26
48,51,35,51,53,46,25,27,53
29,34,28,35,35,33,32,35,35
45,46,16,39,46,38,44,26,46
36,38,30,31,40,23,39,29,40
5,34,19,35,36,21,12,19,36
27,40,37,37,40,34,33,33,40
45,45,21,39,43,13,10,40,45
4,37,30,40,38,18,18,37,40
35,36,35,34,37,27,21,11,37
32,33,18,36,34,24,32,31,36
25,43,29,44,47,45,16,25,47
34,34,24,29,34,16,9,3,34
33,36,24,38,39,31,29,18,39
39,39,36,42,42,20,38,3,42
