colour,epoch
Blue,36
Brown,41
Green,50
Grey,50
Orange,50
Purple,28
Red,7
Yellow,47
Blue,33
Brown,46
Green,27
Grey,47
Orange,48
Purple,46
Red,47
Yellow,28
Blue,33
Brown,39
Green,23
Grey,37
Orange,38
Purple,30
Red,16
Yellow,23
Blue,33
Brown,33
Green,31
Grey,34
Orange,35
Purple,21
Red,19
Yellow,22
Blue,28
Brown,28
Green,19
Grey,25
Orange,27
Purple,15
Red,28
Yellow,7
Blue,37
Brown,39
Green,19
Grey,40
Orange,39
Purple,22
Red,40
Yellow,38
Blue,27
Brown,39
Green,18
Grey,33
Orange,38
Purple,37
Red,16
Yellow,33
Blue,34
Brown,37
Green,20
Grey,36
Orange,37
Purple,29
Red,30
Yellow,35
Blue,27
Brown,36
Green,33
Grey,40
Orange,40
Purple,30
Red,34
Yellow,37
Blue,23
Brown,29
Green,26
Grey,29
Orange,29
Purple,25
Red,16
Yellow,13
Blue,16
Brown,43
Green,26
Grey,44
Orange,43
Purple,44
Red,24
Yellow,16
Blue,27
Brown,31
Green,25
Grey,24
Orange,29
Purple,27
Red,21
Yellow,23
Blue,17
Brown,40
Green,16
Grey,38
Orange,37
Purple,40
Red,7
Yellow,39
Blue,24
Brown,32
Green,16
Grey,31
Orange,33
Purple,31
Red,18
Yellow,24
Blue,33
Brown,33
Green,33
Grey,32
Orange,35
Purple,13
Red,28
Yellow,15
Blue,29
Brown,37
Green,17
Grey,33
Orange,37
Purple,31
Red,22
Yellow,26
Blue,49
Brown,50
Green,50
Grey,49
Orange,52
Purple,48
Red,10
Yellow,50
Blue,49
Brown,54
Green,42
Grey,56
Orange,56
Purple,28
Red,11
Yellow,27
Blue,49
Brown,36
Green,35
Grey,52
Orange,54
Purple,50
Red,23
Yellow,48
Blue,23
Brown,30
Green,19
Grey,29
Orange,29
Purple,21
Red,11
Yellow,12
Blue,34
Brown,38
Green,28
Grey,38
Orange,39
Purple,26
Red,24
Yellow,30
Blue,22
Brown,35
Green,33
Grey,34
Orange,35
Purple,18
Red,31
Yellow,4
Blue,29
Brown,29
Green,19
Grey,27
Orange,28
Purple,16
Red,19
Yellow,10
Blue,2
Brown,26
Green,19
Grey,31
Orange,32
Purple,32
Red,20
Yellow,20
Blue,33
Brown,30
Green,20
Grey,30
Orange,34
Purple,21
Red,31
Yellow,3
Blue,28
Brown,33
Green,19
Grey,33
Orange,33
Purple,26
Red,25
Yellow,32
Blue,31
Brown,34
Green,20
Grey,36
Orange,36
Purple,35
Red,20
Yellow,34
Blue,35
Brown,35
Green,22
Grey,35
Orange,37
Purple,37
Red,8
Yellow,4
Blue,34
Brown,39
Green,21
Grey,39
Orange,40
Purple,37
Red,19
Yellow,38
Blue,23
Brown,28
Green,25
Grey,27
Orange,27
Purple,28
Red,24
Yellow,6
Blue,25
Brown,34
Green,20
Grey,35
Orange,38
Purple,37
Red,8
Yellow,21
Blue,28
Brown,30
Green,30
Grey,33
Orange,32
Purple,17
Red,30
Yellow,4
Blue,42
Brown,42
Green,42
Grey,41
Orange,40
Purple,30
Red,21
Yellow,29
Blue,31
Brown,31
Green,31
Grey,30
Orange,31
Purple,27
Red,9
Yellow,21
Blue,34
Brown,33
Green,20
Grey,30
Orange,34
Purple,15
Red,11
Yellow,34
Blue,45
Brown,53
Green,33
Grey,48
Orange,52
Purple,17
Red,17
Yellow,23
Blue,45
Brown,46
Green,26
Grey,42
Orange,46
Purple,44
Red,32
Yellow,40
Blue,48
Brown,55
Green,23
Grey,52
Orange,56
Purple,47
Red,34
Yellow,14
Blue,33
Brown,32
Green,39
Grey,39
Orange,41
Purple,16
Red,9
Yellow,29
Blue,61
Brown,61
Green,17
Grey,49
Orange,59
Purple,46
Red,37
Yellow,55
Blue,21
Brown,26
Green,22
Grey,26
Orange,23
Purple,24
Red,26
Yellow,15
Blue,21
Brown,31
Green,21
Grey,25
Orange,32
Purple,20
Red,13
Yellow,21
Blue,17
Brown,33
Green,23
Grey,32
Orange,34
Purple,23
Red,11
Yellow,24
Blue,34
Brown,35
Green,24
Grey,36
Orange,35
Purple,18
Red,18
Yellow,24
Blue,4
Brown,31
Green,31
Grey,31
Orange,28
Purple,29
Red,21
Yellow,26
Blue,35
Brown,35
Green,19
Grey,36
Orange,35
Purple,30
Red,13
Yellow,30
Blue,44
Brown,42
Green,43
Grey,41
Orange,46
Purple,41
Red,24
Yellow,21
Blue,59
Brown,62
Green,22
Grey,58
Orange,63
Purple,37
Red,9
Yellow,58
Blue,1
Brown,28
Green,22
Grey,29
Orange,28
Purple,24
Red,24
Yellow,9
Blue,39
Brown,38
Green,32
Grey,38
Orange,36
Purple,20
Red,39
Yellow,31
Blue,32
Brown,38
Green,26
Grey,37
Orange,37
Purple,33
Red,16
Yellow,23
Blue,20
Brown,26
Green,25
Grey,26
Orange,25
Purple,25
Red,25
Yellow,14
Blue,32
Brown,35
Green,21
Grey,32
Orange,34
Purple,35
Red,10
Yellow,32
Blue,13
Brown,33
Green,29
Grey,33
Orange,34
Purple,33
Red,25
Yellow,11
Blue,10
Brown,27
Green,19
Grey,29
Orange,26
Purple,27
Red,10
Yellow,12
Blue,38
Brown,39
Green,28
Grey,39
Orange,40
Purple,29
Red,30
Yellow,8
Blue,31
Brown,36
Green,19
Grey,35
Orange,33
Purple,34
Red,20
Yellow,18
Blue,33
Brown,34
Green,20
Grey,40
Orange,42
Purple,16
Red,25
Yellow,20
Blue,22
Brown,28
Green,17
Grey,31
Orange,30
Purple,22
Red,29
Yellow,15
Blue,28
Brown,35
Green,27
Grey,34
Orange,35
Purple,32
Red,33
Yellow,28
Blue,27
Brown,28
Green,20
Grey,26
Orange,25
Purple,17
Red,24
Yellow,20
Blue,42
Brown,48
Green,19
Grey,37
Orange,44
Purple,43
Red,13
Yellow,43
Blue,31
Brown,43
Green,28
Grey,43
Orange,43
Purple,43
Red,18
Yellow,22
Blue,33
Brown,37
Green,34
Grey,37
Orange,35
Purple,19
Red,6
Yellow,20
Blue,50
Brown,47
Green,25
Grey,51
Orange,49
Purple,34
Red,27
Yellow,40
Blue,24
Brown,30
Green,24
Grey,29
Orange,30
Purple,30
Red,6
Yellow,22
Blue,23
Brown,33
Green,24
Grey,28
Orange,34
Purple,30
Red,9
Yellow,32
Blue,34
Brown,34
Green,20
Grey,35
Orange,32
Purple,28
Red,33
Yellow,30
Blue,44
Brown,42
Green,20
Grey,39
Orange,44
Purple,24
Red,14
Yellow,43
Blue,32
Brown,32
Green,25
Grey,32
Orange,29
Purple,31
Red,18
Yellow,10
Blue,38
Brown,37
Green,34
Grey,35
Orange,39
Purple,28
Red,28
Yellow,39
Blue,29
Brown,29
Green,29
Grey,31
Orange,31
Purple,31
Red,26
Yellow,29
Blue,15
Brown,27
Green,15
Grey,25
Orange,24
Purple,26
Red,17
Yellow,27
Blue,26
Brown,26
Green,17
Grey,28
Orange,27
Purple,14
Red,16
Yellow,19
Blue,22
Brown,34
Green,27
Grey,33
Orange,34
Purple,32
Red,31
Yellow,32
Blue,14
Brown,32
Green,18
Grey,31
Orange,31
Purple,29
Red,32
Yellow,11
Blue,30
Brown,31
Green,30
Grey,20
Orange,31
Purple,29
Red,18
Yellow,25
Blue,41
Brown,39
Green,23
Grey,37
Orange,39
Purple,15
Red,31
Yellow,38
Blue,47
Brown,48
Green,29
Grey,41
Orange,48
Purple,17
Red,34
Yellow,37
Blue,39
Brown,50
Green,44
Grey,48
Orange,49
Purple,16
Red,10
Yellow,45
Blue,25
Brown,44
Green,27
Grey,48
Orange,47
Purple,44
Red,48
Yellow,33
Blue,31
Brown,37
Green,19
Grey,36
Orange,39
Purple,34
Red,12
Yellow,37
Blue,24
Brown,30
Green,30
Grey,29
Orange,30
Purple,22
Red,4
Yellow,15
Blue,33
Brown,28
Green,28
Grey,32
Orange,31
Purple,21
Red,28
Yellow,30
Blue,31
Brown,47
Green,35
Grey,44
Orange,47
Purple,35
Red,33
Yellow,47
Blue,39
Brown,41
Green,32
Grey,39
Orange,41
Purple,33
Red,34
Yellow,22
Blue,31
Brown,36
Green,25
Grey,35
Orange,39
Purple,12
Red,7
Yellow,26
Blue,46
Brown,45
Green,29
Grey,46
Orange,44
Purple,32
Red,16
Yellow,38
Blue,16
Brown,23
Green,21
Grey,23
Orange,22
Purple,17
Red,8
Yellow,23
Blue,28
Brown,28
Green,24
Grey,28
Orange,28
Purple,23
Red,17
Yellow,12
Blue,30
Brown,34
Green,20
Grey,34
Orange,34
Purple,30
Red,21
Yellow,21
Blue,29
Brown,29
Green,27
Grey,27
Orange,28
Purple,28
Red,29
Yellow,27
Blue,40
Brown,34
Green,35
Grey,39
Orange,37
Purple,38
Red,8
Yellow,34
Blue,38
Brown,38
Green,24
Grey,36
Orange,39
Purple,25
Red,14
Yellow,18
Blue,36
Brown,35
Green,22
Grey,34
Orange,36
Purple,26
Red,11
Yellow,34
Blue,30
Brown,34
Green,30
Grey,34
Orange,35
Purple,35
Red,16
Yellow,8
Blue,28
Brown,27
Green,26
Grey,26
Orange,28
Purple,15
Red,23
Yellow,21
Blue,20
Brown,28
Green,22
Grey,26
Orange,28
Purple,26
Red,10
Yellow,22
Blue,34
Brown,37
Green,37
Grey,37
Orange,36
Purple,37
Red,25
Yellow,34
Blue,48
Brown,37
Green,27
