Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
51,51,19,48,49,27,3,50,51
31,33,22,34,34,20,12,32,34
17,26,21,26,25,26,23,21,26
30,29,30,30,27,27,19,11,30
43,47,28,44,48,31,19,32,48
11,25,16,25,21,12,23,25,25
22,29,25,27,28,18,24,23,29
34,33,24,32,31,32,8,25,34
29,27,18,27,28,24,16,26,29
29,28,20,26,29,11,28,29,29
46,41,16,40,46,23,44,6,46
29,35,30,35,36,27,10,17,36
30,30,27,32,31,22,23,30,32
32,33,23,34,31,21,29,3,34
26,26,20,23,27,15,12,15,27
29,28,21,28,25,22,15,24,29
22,35,32,33,34,27,34,35,35
27,27,20,31,33,10,33,31,33
31,32,28,32,32,28,22,28,32
31,31,25,29,32,33,5,23,33
13,31,22,27,31,31,11,9,31
37,34,21,35,36,26,23,25,37
23,27,27,24,22,18,19,2,27
14,32,24,28,28,26,19,27,32
13,41,21,40,42,41,11,36,42
29,34,26,28,34,27,34,17,34
26,36,36,35,37,22,37,4,37
39,36,33,36,38,9,36,39,39
31,28,26,32,33,21,11,10,33
35,33,29,34,35,23,24,33,35
30,39,21,34,38,36,16,39,39
32,36,36,35,34,28,17,2,36
20,26,18,26,26,13,5,19,26
37,39,29,39,36,38,23,35,39
24,34,29,34,35,9,9,8,35
26,25,24,24,24,25,10,16,26
27,32,25,30,32,11,17,3,32
15,23,23,23,20,17,17,19,23
35,35,28,36,37,28,15,24,37
27,29,18,29,28,25,26,29,29
40,41,28,42,40,20,30,41,42
20,37,18,36,34,29,33,32,37
26,37,19,38,37,37,37,26,38
33,32,18,33,33,27,20,25,33
36,35,20,32,33,32,10,35,36
29,33,22,26,33,19,23,27,33
35,33,25,34,35,31,6,25,35
36,39,30,39,42,33,17,7,42
25,26,22,26,26,16,15,10,26
23,27,26,28,28,15,6,25,28
54,52,26,53,54,42,21,48,54
27,32,22,31,29,16,19,29,32
27,29,19,29,26,16,12,7,29
29,38,26,36,35,28,13,9,38
26,40,34,34,43,38,13,24,43
25,27,24,25,25,16,18,22,27
30,39,29,37,37,16,35,34,39
32,35,35,36,37,18,12,32,37
30,34,34,32,34,24,20,18,34
24,27,21,27,26,21,15,13,27
6,33,23,32,33,16,9,28,33
