colour,epoch
Blue,51
Brown,51
Green,19
Grey,48
Orange,49
Purple,27
Red,3
Yellow,50
Blue,31
Brown,33
Green,22
Grey,34
Orange,34
Purple,20
Red,12
Yellow,32
Blue,17
Brown,26
Green,21
Grey,26
Orange,25
Purple,26
Red,23
Yellow,21
Blue,30
Brown,29
Green,30
Grey,30
Orange,27
Purple,27
Red,19
Yellow,11
Blue,43
Brown,47
Green,28
Grey,44
Orange,48
Purple,31
Red,19
Yellow,32
Blue,11
Brown,25
Green,16
Grey,25
Orange,21
Purple,12
Red,23
Yellow,25
Blue,22
Brown,29
Green,25
Grey,27
Orange,28
Purple,18
Red,24
Yellow,23
Blue,34
Brown,33
Green,24
Grey,32
Orange,31
Purple,32
Red,8
Yellow,25
Blue,29
Brown,27
Green,18
Grey,27
Orange,28
Purple,24
Red,16
Yellow,26
Blue,29
Brown,28
Green,20
Grey,26
Orange,29
Purple,11
Red,28
Yellow,29
Blue,46
Brown,41
Green,16
Grey,40
Orange,46
Purple,23
Red,44
Yellow,6
Blue,29
Brown,35
Green,30
Grey,35
Orange,36
Purple,27
Red,10
Yellow,17
Blue,30
Brown,30
Green,27
Grey,32
Orange,31
Purple,22
Red,23
Yellow,30
Blue,32
Brown,33
Green,23
Grey,34
Orange,31
Purple,21
Red,29
Yellow,3
Blue,26
Brown,26
Green,20
Grey,23
Orange,27
Purple,15
Red,12
Yellow,15
Blue,29
Brown,28
Green,21
Grey,28
Orange,25
Purple,22
Red,15
Yellow,24
Blue,22
Brown,35
Green,32
Grey,33
Orange,34
Purple,27
Red,34
Yellow,35
Blue,27
Brown,27
Green,20
Grey,31
Orange,33
Purple,10
Red,33
Yellow,31
Blue,31
Brown,32
Green,28
Grey,32
Orange,32
Purple,28
Red,22
Yellow,28
Blue,31
Brown,31
Green,25
Grey,29
Orange,32
Purple,33
Red,5
Yellow,23
Blue,13
Brown,31
Green,22
Grey,27
Orange,31
Purple,31
Red,11
Yellow,9
Blue,37
Brown,34
Green,21
Grey,35
Orange,36
Purple,26
Red,23
Yellow,25
Blue,23
Brown,27
Green,27
Grey,24
Orange,22
Purple,18
Red,19
Yellow,2
Blue,14
Brown,32
Green,24
Grey,28
Orange,28
Purple,26
Red,19
Yellow,27
Blue,13
Brown,41
Green,21
Grey,40
Orange,42
Purple,41
Red,11
Yellow,36
Blue,29
