Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
36,34,29,35,35,29,15,31,36
53,55,30,50,54,38,43,52,55
40,40,31,38,47,44,23,32,47
32,34,28,33,34,28,13,33,34
42,45,48,47,46,27,36,40,48
41,49,16,49,49,31,22,45,49
40,41,32,41,42,42,42,39,42
44,43,38,44,44,40,10,33,44
34,32,20,34,34,16,12,31,34
37,39,28,39,39,24,15,34,39
28,29,21,30,31,25,14,22,31
46,53,22,54,51,42,51,50,54
29,29,29,29,29,18,18,28,29
44,37,23,43,44,42,25,32,44
35,36,17,36,36,16,17,12,36
34,35,22,34,32,29,28,3,35
31,33,23,33,34,32,34,3,34
25,29,22,28,29,15,11,23,29
28,39,23,42,43,36,31,32,43
35,34,22,33,34,32,14,23,35
1,26,24,28,28,16,10,2,28
36,36,24,38,32,37,38,34,38
17,28,21,28,27,16,8,21,28
40,38,35,41,44,26,22,32,44
44,46,17,37,46,43,12,46,46
38,46,32,54,55,24,14,50,55
24,27,19,27,29,25,11,16,29
38,38,19,32,37,34,19,27,38
26,28,19,28,28,21,22,5,28
24,28,23,28,27,25,26,25,28
47,47,34,47,47,21,15,36,47
13,34,21,34,34,30,15,33,34
16,35,32,36,34,24,22,20,36
36,34,32,33,38,23,27,37,38
22,44,23,46,46,37,19,31,46
15,30,22,27,29,21,13,26,30
46,43,50,50,51,51,47,11,51
17,34,27,34,35,18,12,22,35
35,31,18,37,37,35,36,36,37
24,54,26,54,52,40,34,54,54
18,27,24,27,27,22,22,4,27
47,45,19,51,52,27,47,49,52
52,51,51,51,53,15,31,51,53
36,35,32,34,37,34,35,34,37
29,42,35,40,42,40,34,38,42
36,44,32,43,44,30,36,34,44
37,37,30,37,35,27,20,32,37
34,36,20,35,36,18,35,26,36
54,35,33,53,57,45,35,30,57
26,35,27,38,40,38,10,31,40
35,35,35,35,33,29,21,36,36
25,27,20,26,24,24,23,21,27
43,44,31,48,47,37,17,4,48
33,42,40,39,41,43,36,25,43
9,36,22,34,36,23,18,21,36
43,49,45,47,50,29,20,43,50
36,36,39,46,49,35,30,12,49
40,40,37,42,38,41,25,23,42
30,35,30,38,36,36,30,37,38
30,37,35,37,36,34,35,37,37
30,32,26,34,33,32,23,30,34
34,34,34,33,34,32,12,33,34
17,29,19,31,24,22,22,11,31
30,33,26,34,34,33,33,28,34
30,33,33,33,29,31,32,2,33
21,34,26,35,32,26,13,17,35
41,38,42,41,40,38,41,37,42
63,54,53,55,64,32,50,58,64
37,34,23,35,36,38,25,7,38
52,57,48,57,58,42,52,52,58
29,36,35,35,36,27,9,35,36
29,33,24,35,33,26,25,27,35
22,32,25,35,35,35,32,6,35
42,41,20,41,38,26,28,36,42
36,36,21,40,40,19,40,38,40
52,53,32,54,55,53,35,28,55
21,38,21,39,39,36,12,2,39
30,38,31,35,36,21,23,32,38
9,27,27,30,30,26,13,18,30
41,37,39,41,39,29,22,42,42
35,35,13,33,35,24,4,14,35
31,29,29,31,30,26,26,28,31
26,38,22,37,38,30,20,35,38
34,37,23,35,40,27,6,34,40
30,33,15,33,33,29,31,28,33
32,36,38,35,40,19,13,31,40
38,40,36,43,44,23,23,36,44
33,36,36,36,38,34,14,33,38
50,48,49,49,49,18,36,48,50
30,31,26,30,30,25,26,22,31
31,31,32,32,28,31,32,27,32
41,41,19,37,39,16,13,25,41
29,32,22,32,31,23,12,32,32
41,48,28,50,49,43,34,50,50
17,26,20,24,26,26,20,23,26
30,32,18,34,33,21,27,23,34
65,69,53,68,69,47,66,48,69
38,43,29,42,41,38,35,7,43
38,38,22,40,40,39,39,36,40
35,38,38,37,36,33,10,38,38
48,45,19,48,47,43,18,46,48
22,32,32,33,33,33,18,32,33
17,28,19,29,27,21,15,7,29
30,37,34,38,38,37,28,31,38
25,29,18,29,29,29,11,27,29
28,29,16,24,28,26,11,13,29
41,40,25,41,42,26,18,39,42
14,27,21,27,25,15,19,15,27
36,38,24,32,38,15,12,17,38
50,51,31,54,55,42,9,34,55
52,48,36,41,53,38,44,46,53
31,31,31,32,32,32,12,32,32
25,36,24,36,40,16,16,20,40
35,40,31,41,34,34,38,41,41
26,31,17,32,30,31,31,21,32
44,47,34,39,50,49,35,37,50
2,29,21,29,29,22,12,21,29
36,35,19,37,37,35,31,12,37
36,41,39,39,44,41,41,32,44
43,46,31,45,46,22,45,39,46
19,30,28,31,32,27,29,21,32
20,29,28,28,27,22,25,28,29
28,32,23,28,32,22,13,7,32
40,42,20,42,42,34,22,41,42
30,35,23,34,36,29,21,28,36
33,37,23,37,37,14,20,30,37
30,30,30,31,30,25,8,29,31
36,41,32,41,40,35,27,35,41
34,35,33,35,34,27,19,31,35
33,40,33,37,41,18,24,28,41
45,41,17,46,46,36,41,41,46
28,28,28,31,31,27,26,28,31
30,30,25,29,26,18,8,15,30
51,64,46,62,66,26,23,60,66
48,44,29,47,49,35,20,20,49
30,33,20,31,32,14,14,19,33
19,46,21,47,48,42,21,41,48
42,46,46,46,46,44,46,16,46
6,23,16,23,23,14,21,3,23
47,44,42,52,55,52,13,55,55
30,30,22,32,32,32,13,29,32
36,36,32,37,35,35,11,23,37
28,27,26,29,30,25,23,25,30
20,36,20,35,36,36,27,33,36
19,40,18,44,43,40,37,44,44
41,41,18,36,41,30,14,38,41
27,31,20,32,33,16,25,30,33
44,42,39,51,53,41,40,24,53
41,40,33,38,44,28,19,32,44
25,35,28,34,30,31,31,12,35
35,39,29,36,39,15,27,31,39
30,37,16,37,38,25,22,37,38
47,45,24,46,45,45,34,35,47
31,29,24,33,31,33,19,27,33
35,33,26,28,34,23,19,29,35
12,32,29,32,28,27,29,26,32
50,52,21,52,52,30,47,40,52
32,31,23,30,33,15,11,29,33
23,31,18,31,32,26,22,26,32
44,43,18,44,45,45,23,20,45
26,31,21,30,31,27,10,31,31
32,30,21,35,35,24,24,30,35
12,40,16,42,38,31,31,42,42
45,50,33,48,50,38,30,19,50
7,27,16,24,27,27,23,4,27
5,29,19,23,29,18,21,7,29
29,37,14,38,34,31,37,27,38
28,30,24,30,30,30,22,16,30
68,64,38,70,69,57,14,52,70
24,26,25,26,26,23,11,25,26
27,28,23,29,28,21,24,12,29
23,33,21,30,35,28,35,26,35
26,25,16,22,26,27,22,2,27
32,31,20,32,33,33,32,28,33
33,33,23,32,34,31,18,33,34
46,51,29,57,58,31,24,53,58
25,36,30,38,39,39,32,30,39
28,28,25,28,26,27,28,24,28
32,32,20,34,34,33,14,32,34
25,27,20,24,27,23,9,14,27
39,39,25,39,40,13,9,39,40
23,27,16,32,31,24,25,27,32
32,32,24,32,32,33,19,32,33
42,41,20,42,42,40,21,25,42
41,39,22,43,43,35,38,12,43
34,35,31,36,37,26,6,29,37
38,46,36,46,46,21,33,25,46
34,34,30,36,36,33,20,4,36
24,35,16,30,34,16,25,33,35
35,36,23,33,34,13,24,21,36
22,28,27,28,26,17,17,3,28
48,50,21,42,51,35,12,11,51
40,41,29,41,40,35,34,38,41
29,28,20,30,30,22,14,28,30
27,34,26,32,35,16,31,24,35
17,23,17,20,20,15,10,21,23
30,33,24,29,33,28,19,25,33
29,29,18,27,29,18,8,28,29
28,30,27,31,31,21,25,27,31
8,24,28,28,26,20,13,15,28
33,39,27,37,35,32,36,38,39
42,42,19,42,40,38,27,42,42
21,28,24,28,26,22,18,20,28
35,34,31,36,35,20,33,19,36
30,33,18,33,28,27,27,3,33
46,49,23,49,48,17,17,36,49
32,43,40,43,42,40,15,36,43
45,59,29,60,60,33,60,60,60
43,40,21,42,41,25,26,26,43
31,35,19,32,33,36,17,18,36
51,51,43,50,50,25,28,42,51
29,30,26,27,30,21,16,4,30
31,28,25,30,32,19,17,29,32
42,49,23,50,52,54,16,53,54
43,46,46,42,48,47,36,38,48
29,45,36,46,46,27,14,35,46
8,27,23,34,34,24,21,11,34
27,28,28,27,28,24,9,22,28
27,40,18,40,40,16,23,27,40
54,63,59,65,62,63,62,55,65
27,30,26,29,29,22,13,25,30
21,28,16,27,27,28,18,13,28
30,32,29,32,32,32,32,29,32
43,43,13,49,49,45,8,42,49
18,28,25,26,28,18,21,19,28
34,38,36,42,43,22,17,10,43
32,36,20,28,35,22,37,13,37
40,40,22,39,39,39,14,30,40
21,30,24,28,26,29,22,26,30
33,32,20,33,32,22,31,20,33
26,26,23,24,27,19,22,20,27
28,33,26,36,35,19,12,33,36
14,36,24,35,34,32,17,4,36
33,36,30,35,35,34,20,27,36
36,39,40,40,39,31,13,27,40
8,23,10,20,22,21,23,2,23
30,30,30,30,31,30,19,26,31
41,40,27,39,39,39,33,37,41
33,43,37,42,43,36,30,43,43
30,34,18,34,35,27,12,34,35
16,31,21,29,31,11,22,20,31
38,37,33,45,47,41,41,5,47
34,32,22,34,32,27,24,13,34
26,28,24,25,27,21,13,17,28
15,32,32,31,32,30,11,30,32
44,51,36,48,52,43,46,37,52
24,37,28,40,40,30,26,4,40
24,32,17,30,32,31,27,18,32
28,31,29,33,34,30,20,28,34
33,34,31,32,33,16,16,26,34
27,35,22,35,33,23,28,16,35
26,28,21,28,28,14,15,20,28
34,41,35,38,42,41,40,37,42
29,35,21,32,37,31,26,37,37
44,41,19,35,48,39,30,38,48
