colour,epoch
Blue,36
Brown,34
Green,29
Grey,35
Orange,35
Purple,29
Red,15
Yellow,31
Blue,53
Brown,55
Green,30
Grey,50
Orange,54
Purple,38
Red,43
Yellow,52
Blue,40
Brown,40
Green,31
Grey,38
Orange,47
Purple,44
Red,23
Yellow,32
Blue,32
Brown,34
Green,28
Grey,33
Orange,34
Purple,28
Red,13
Yellow,33
Blue,42
Brown,45
Green,48
Grey,47
Orange,46
Purple,27
Red,36
Yellow,40
Blue,41
Brown,49
Green,16
Grey,49
Orange,49
Purple,31
Red,22
Yellow,45
Blue,40
Brown,41
Green,32
Grey,41
Orange,42
Purple,42
Red,42
Yellow,39
Blue,44
Brown,43
Green,38
Grey,44
Orange,44
Purple,40
Red,10
Yellow,33
Blue,34
Brown,32
Green,20
Grey,34
Orange,34
Purple,16
Red,12
Yellow,31
Blue,37
Brown,39
Green,28
Grey,39
Orange,39
Purple,24
Red,15
Yellow,34
Blue,28
Brown,29
Green,21
Grey,30
Orange,31
Purple,25
Red,14
Yellow,22
Blue,46
Brown,53
Green,22
Grey,54
Orange,51
Purple,42
Red,51
Yellow,50
Blue,29
Brown,29
Green,29
Grey,29
Orange,29
Purple,18
Red,18
Yellow,28
Blue,44
Brown,37
Green,23
Grey,43
Orange,44
Purple,42
Red,25
Yellow,32
Blue,35
Brown,36
Green,17
Grey,36
Orange,36
Purple,16
Red,17
Yellow,12
Blue,34
Brown,35
Green,22
Grey,34
Orange,32
Purple,29
Red,28
Yellow,3
Blue,31
Brown,33
Green,23
Grey,33
Orange,34
Purple,32
Red,34
Yellow,3
Blue,25
Brown,29
Green,22
Grey,28
Orange,29
Purple,15
Red,11
Yellow,23
Blue,28
Brown,39
Green,23
Grey,42
Orange,43
Purple,36
Red,31
Yellow,32
Blue,35
Brown,34
Green,22
Grey,33
Orange,34
Purple,32
Red,14
Yellow,23
Blue,1
Brown,26
Green,24
Grey,28
Orange,28
Purple,16
Red,10
Yellow,2
Blue,36
Brown,36
Green,24
Grey,38
Orange,32
Purple,37
Red,38
Yellow,34
Blue,17
Brown,28
Green,21
Grey,28
Orange,27
Purple,16
Red,8
Yellow,21
Blue,40
Brown,38
Green,35
Grey,41
Orange,44
Purple,26
Red,22
Yellow,32
Blue,44
Brown,46
Green,17
Grey,37
Orange,46
Purple,43
Red,12
Yellow,46
Blue,38
Brown,46
Green,32
Grey,54
Orange,55
Purple,24
Red,14
Yellow,50
Blue,24
Brown,27
Green,19
Grey,27
Orange,29
Purple,25
Red,11
Yellow,16
Blue,38
Brown,38
Green,19
Grey,32
Orange,37
Purple,34
Red,19
Yellow,27
Blue,26
Brown,28
Green,19
Grey,28
Orange,28
Purple,21
Red,22
Yellow,5
Blue,24
Brown,28
Green,23
Grey,28
Orange,27
Purple,25
Red,26
Yellow,25
Blue,47
Brown,47
Green,34
Grey,47
Orange,47
Purple,21
Red,15
Yellow,36
Blue,13
Brown,34
Green,21
Grey,34
Orange,34
Purple,30
Red,15
Yellow,33
Blue,16
Brown,35
Green,32
Grey,36
Orange,34
Purple,24
Red,22
Yellow,20
Blue,36
Brown,34
Green,32
Grey,33
Orange,38
Purple,23
Red,27
Yellow,37
Blue,22
Brown,44
Green,23
Grey,46
Orange,46
Purple,37
Red,19
Yellow,31
Blue,15
Brown,30
Green,22
Grey,27
Orange,29
Purple,21
Red,13
Yellow,26
Blue,46
Brown,43
Green,50
Grey,50
Orange,51
Purple,51
Red,47
Yellow,11
Blue,17
Brown,34
Green,27
Grey,34
Orange,35
Purple,18
Red,12
Yellow,22
Blue,35
Brown,31
Green,18
Grey,37
Orange,37
Purple,35
Red,36
Yellow,36
Blue,24
Brown,54
Green,26
Grey,54
Orange,52
Purple,40
Red,34
Yellow,54
Blue,18
Brown,27
Green,24
Grey,27
Orange,27
Purple,22
Red,22
Yellow,4
Blue,47
Brown,45
Green,19
Grey,51
Orange,52
Purple,27
Red,47
Yellow,49
Blue,52
Brown,51
Green,51
Grey,51
Orange,53
Purple,15
Red,31
Yellow,51
Blue,36
Brown,35
Green,32
Grey,34
Orange,37
Purple,34
Red,35
Yellow,34
Blue,29
Brown,42
Green,35
Grey,40
Orange,42
Purple,40
Red,34
Yellow,38
Blue,36
Brown,44
Green,32
Grey,43
Orange,44
Purple,30
Red,36
Yellow,34
Blue,37
Brown,37
Green,30
Grey,37
Orange,35
Purple,27
Red,20
Yellow,32
Blue,34
Brown,36
Green,20
Grey,35
Orange,36
Purple,18
Red,35
Yellow,26
Blue,54
Brown,35
Green,33
Grey,53
Orange,57
Purple,45
Red,35
Yellow,30
Blue,26
Brown,35
Green,27
Grey,38
Orange,40
Purple,38
Red,10
Yellow,31
Blue,35
Brown,35
Green,35
Grey,35
Orange,33
Purple,29
Red,21
Yellow,36
Blue,25
Brown,27
Green,20
Grey,26
Orange,24
Purple,24
Red,23
Yellow,21
Blue,43
Brown,44
Green,31
Grey,48
Orange,47
Purple,37
Red,17
Yellow,4
Blue,33
Brown,42
Green,40
Grey,39
Orange,41
Purple,43
Red,36
Yellow,25
Blue,9
Brown,36
Green,22
Grey,34
Orange,36
Purple,23
Red,18
Yellow,21
Blue,43
Brown,49
Green,45
Grey,47
Orange,50
Purple,29
Red,20
Yellow,43
Blue,36
Brown,36
Green,39
Grey,46
Orange,49
Purple,35
Red,30
Yellow,12
Blue,40
Brown,40
Green,37
Grey,42
Orange,38
Purple,41
Red,25
Yellow,23
Blue,30
Brown,35
Green,30
Grey,38
Orange,36
Purple,36
Red,30
Yellow,37
Blue,30
Brown,37
Green,35
Grey,37
Orange,36
Purple,34
Red,35
Yellow,37
Blue,30
Brown,32
Green,26
Grey,34
Orange,33
Purple,32
Red,23
Yellow,30
Blue,34
Brown,34
Green,34
Grey,33
Orange,34
Purple,32
Red,12
Yellow,33
Blue,17
Brown,29
Green,19
Grey,31
Orange,24
Purple,22
Red,22
Yellow,11
Blue,30
Brown,33
Green,26
Grey,34
Orange,34
Purple,33
Red,33
Yellow,28
Blue,30
Brown,33
Green,33
Grey,33
Orange,29
Purple,31
Red,32
Yellow,2
Blue,21
Brown,34
Green,26
Grey,35
Orange,32
Purple,26
Red,13
Yellow,17
Blue,41
Brown,38
Green,42
Grey,41
Orange,40
Purple,38
Red,41
Yellow,37
Blue,63
Brown,54
Green,53
Grey,55
Orange,64
Purple,32
Red,50
Yellow,58
Blue,37
Brown,34
Green,23
Grey,35
Orange,36
Purple,38
Red,25
Yellow,7
Blue,52
Brown,57
Green,48
Grey,57
Orange,58
Purple,42
Red,52
Yellow,52
Blue,29
Brown,36
Green,35
Grey,35
Orange,36
Purple,27
Red,9
Yellow,35
Blue,29
Brown,33
Green,24
Grey,35
Orange,33
Purple,26
Red,25
Yellow,27
Blue,22
Brown,32
Green,25
Grey,35
Orange,35
Purple,35
Red,32
Yellow,6
Blue,42
Brown,41
Green,20
Grey,41
Orange,38
Purple,26
Red,28
Yellow,36
Blue,36
Brown,36
Green,21
Grey,40
Orange,40
Purple,19
Red,40
Yellow,38
Blue,52
Brown,53
Green,32
Grey,54
Orange,55
Purple,53
Red,35
Yellow,28
Blue,21
Brown,38
Green,21
Grey,39
Orange,39
Purple,36
Red,12
Yellow,2
Blue,30
Brown,38
Green,31
Grey,35
Orange,36
Purple,21
Red,23
Yellow,32
Blue,9
Brown,27
Green,27
Grey,30
Orange,30
Purple,26
Red,13
Yellow,18
Blue,41
Brown,37
Green,39
Grey,41
Orange,39
Purple,29
Red,22
Yellow,42
Blue,35
Brown,35
Green,13
Grey,33
Orange,35
Purple,24
Red,4
Yellow,14
Blue,31
Brown,29
Green,29
Grey,31
Orange,30
Purple,26
Red,26
Yellow,28
Blue,26
Brown,38
Green,22
Grey,37
Orange,38
Purple,30
Red,20
Yellow,35
Blue,34
Brown,37
Green,23
Grey,35
Orange,40
Purple,27
Red,6
Yellow,34
Blue,30
Brown,33
Green,15
Grey,33
Orange,33
Purple,29
Red,31
Yellow,28
Blue,32
Brown,36
Green,38
Grey,35
Orange,40
Purple,19
Red,13
Yellow,31
Blue,38
Brown,40
Green,36
Grey,43
Orange,44
Purple,23
Red,23
Yellow,36
Blue,33
Brown,36
Green,36
Grey,36
Orange,38
Purple,34
Red,14
Yellow,33
Blue,50
Brown,48
Green,49
Grey,49
Orange,49
Purple,18
Red,36
Yellow,48
Blue,30
Brown,31
Green,26
Grey,30
Orange,30
Purple,25
Red,26
Yellow,22
Blue,31
Brown,31
Green,32
Grey,32
Orange,28
Purple,31
Red,32
Yellow,27
Blue,41
Brown,41
Green,19
Grey,37
Orange,39
Purple,16
Red,13
Yellow,25
Blue,29
Brown,32
Green,22
Grey,32
Orange,31
Purple,23
Red,12
Yellow,32
Blue,41
Brown,48
Green,28
Grey,50
Orange,49
Purple,43
Red,34
Yellow,50
Blue,17
Brown,26
Green,20
Grey,24
Orange,26
Purple,26
Red,20
Yellow,23
Blue,30
Brown,32
Green,18
Grey,34
Orange,33
Purple,21
Red,27
Yellow,23
Blue,65
Brown,69
Green,53
Grey,68
Orange,69
Purple,47
Red,66
Yellow,48
Blue,38
