Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
13,24,20,24,25,11,18,24,25
37,40,33,40,41,26,14,12,41
25,33,31,31,34,30,28,12,34
38,30,25,30,38,12,9,23,38
29,29,26,30,30,17,29,26,30
31,29,20,32,33,14,15,31,33
35,33,35,33,35,19,14,33,35
39,42,17,37,41,17,10,33,42
40,46,46,48,48,15,14,30,48
24,29,27,31,26,22,20,12,31
16,35,35,31,35,17,33,34,35
23,30,30,31,31,10,8,30,31
26,38,18,40,39,24,14,29,40
18,28,26,23,27,14,12,25,28
20,31,26,30,30,18,14,1,31
6,35,27,34,35,23,24,5,35
27,30,27,24,30,16,11,28,30
38,36,20,37,38,13,13,12,38
10,32,26,31,33,21,8,24,33
22,35,31,29,37,15,15,33,37
23,33,29,30,32,27,16,33,33
19,23,23,24,18,8,13,16,24
33,34,33,29,32,22,28,8,34
18,41,36,45,44,15,15,38,45
32,37,25,33,38,31,36,15,38
37,49,49,40,50,20,12,49,50
25,28,17,30,30,10,13,21,30
16,24,24,23,22,23,19,23,24
23,26,24,26,27,25,14,23,27
41,40,37,41,41,21,8,30,41
27,31,33,33,33,18,18,23,33
34,36,34,31,36,10,10,21,36
1,41,32,40,40,26,38,28,41
6,36,24,40,42,17,32,40,42
35,34,34,30,36,27,15,37,37
42,39,40,39,40,25,29,41,42
26,34,29,36,35,30,17,28,36
21,34,30,35,35,23,20,29,35
24,27,27,25,26,14,17,25,27
37,36,24,36,35,11,7,19,37
22,25,21,24,24,14,14,2,25
10,36,35,34,37,12,8,36,37
19,27,25,27,27,16,12,20,27
20,30,25,29,30,24,28,26,30
13,32,19,30,30,11,12,26,32
9,30,23,28,30,15,13,15,30
23,27,21,28,26,13,19,21,28
23,31,20,28,32,21,15,7,32
26,29,28,28,29,16,23,30,30
8,27,25,27,26,27,18,22,27
20,37,38,35,38,32,13,27,38
20,26,24,24,25,17,11,21,26
36,47,46,46,45,37,7,42,47
31,38,20,25,40,10,24,39,40
19,24,24,24,25,21,16,24,25
8,24,24,23,23,18,13,18,24
36,36,31,31,37,12,13,30,37
32,33,15,31,35,29,8,26,35
35,33,21,36,36,12,16,31,36
22,35,31,36,36,23,10,34,36
26,26,26,26,26,24,19,16,26
27,32,28,31,31,18,22,32,32
35,36,25,36,36,16,35,35,36
23,42,24,41,39,13,13,30,42
30,28,27,27,30,16,8,28,30
37,28,21,38,38,11,19,31,38
3,37,28,35,37,14,34,28,37
18,26,26,27,24,22,13,17,27
40,47,32,37,46,20,23,39,47
10,36,32,36,37,29,9,11,37
3,40,40,42,42,38,9,13,42
11,31,19,25,30,18,4,4,31
31,45,36,41,45,12,12,32,45
35,38,21,38,38,11,18,37,38
30,33,27,30,31,23,12,11,33
9,26,28,27,20,19,23,26,28
5,35,21,35,33,20,20,29,35
31,32,27,30,33,23,29,5,33
22,40,27,40,40,25,11,29,40
35,43,35,40,46,27,18,4,46
17,30,27,28,26,17,18,3,30
26,35,26,29,35,20,33,36,36
21,28,16,27,27,15,10,28,28
10,29,26,28,28,14,18,5,29
21,33,27,34,33,14,9,11,34
6,42,30,43,44,12,12,2,44
19,40,26,42,40,37,12,41,42
24,45,23,47,47,42,24,40,47
27,36,25,36,39,38,15,22,39
43,42,15,42,43,39,13,41,43
29,31,27,30,32,19,19,28,32
3,31,32,32,32,25,18,30,32
33,39,35,38,39,19,19,32,39
38,37,31,38,37,15,8,34,38
25,29,26,29,29,19,17,28,29
8,20,18,20,19,18,12,11,20
25,35,37,39,39,16,16,35,39
6,36,25,36,35,16,12,33,36
25,37,28,36,38,7,17,2,38
13,27,18,26,25,21,5,20,27
15,34,26,36,37,28,34,4,37
3,46,41,45,46,32,29,31,46
36,38,31,37,38,32,34,36,38
25,48,39,46,48,33,12,43,48
8,26,21,25,26,18,5,1,26
27,30,29,29,30,11,9,12,30
32,32,23,32,28,13,8,8,32
6,27,21,28,28,13,12,20,28
24,28,30,26,30,11,7,29,30
5,48,20,35,48,18,28,40,48
9,35,23,37,38,33,29,11,38
23,28,27,24,29,24,13,26,29
15,32,25,30,33,25,27,11,33
32,42,27,45,48,21,13,47,48
36,37,29,37,38,18,13,37,38
9,27,22,27,27,26,21,3,27
22,23,22,23,23,15,13,17,23
27,29,18,29,28,22,26,3,29
14,25,19,23,23,23,23,13,25
35,36,24,35,34,27,24,24,36
25,30,26,27,31,24,22,30,31
34,35,27,34,35,12,9,34,35
14,30,25,31,31,20,18,30,31
24,25,25,22,23,14,14,18,25
14,32,21,31,31,27,23,21,32
25,34,21,35,33,16,14,28,35
8,27,24,25,25,11,15,19,27
13,31,19,29,31,15,12,32,32
18,26,18,23,24,12,19,12,26
27,32,29,29,27,12,29,15,32
6,30,27,29,30,23,31,11,31
28,36,36,36,37,22,23,25,37
4,37,19,35,36,24,30,36,37
18,36,35,29,34,12,23,35,36
10,33,31,33,33,16,12,1,33
27,29,26,28,27,17,16,26,29
3,39,22,38,41,9,25,4,41
13,26,24,20,26,11,13,11,26
27,32,20,23,31,27,13,24,32
41,43,17,44,47,31,31,41,47
33,33,35,36,36,31,7,36,36
20,25,21,25,25,15,9,25,25
58,58,27,66,66,44,55,62,66
26,32,30,28,32,19,22,8,32
28,37,27,31,38,12,33,15,38
24,27,23,26,23,19,22,27,27
3,32,30,32,32,28,7,10,32
42,47,21,47,49,40,17,47,49
27,32,33,34,29,25,14,24,34
15,35,24,27,35,23,32,30,35
26,28,27,29,29,16,12,25,29
51,47,30,47,50,14,12,11,51
18,34,35,35,34,20,25,4,35
19,32,21,25,33,29,13,31,33
21,30,20,30,23,20,11,31,31
27,36,24,37,38,17,20,33,38
12,35,25,36,38,14,13,36,38
17,29,24,28,29,15,15,7,29
29,31,23,26,30,19,17,15,31
13,31,31,31,29,26,11,8,31
3,22,19,22,16,22,18,13,22
41,45,34,34,44,18,9,45,45
9,33,39,38,43,41,7,27,43
38,39,18,39,40,19,17,38,40
35,44,34,42,41,12,6,39,44
7,32,28,32,31,31,15,20,32
22,28,24,26,29,15,11,30,30
12,23,23,23,23,8,13,14,23
4,18,15,18,17,12,9,10,18
16,27,26,26,27,23,13,26,27
17,34,15,35,35,22,11,31,35
25,32,31,33,32,13,11,27,33
24,27,22,27,27,24,19,8,27
4,38,20,36,39,35,15,23,39
6,27,21,26,27,22,6,16,27
20,34,23,34,32,32,20,32,34
2,31,20,29,31,22,14,25,31
24,37,29,28,37,20,15,5,37
23,28,19,30,30,22,8,24,30
34,33,21,33,35,32,12,21,35
4,40,40,38,40,33,29,32,40
32,42,33,43,44,35,25,39,44
25,40,25,36,40,39,9,31,40
9,29,26,28,27,26,16,20,29
32,32,24,34,33,10,21,27,34
36,41,27,34,40,26,25,28,41
28,32,29,24,34,24,23,20,34
9,22,18,22,22,13,9,20,22
11,24,23,25,24,9,13,10,25
20,25,25,23,25,18,18,14,25
19,24,17,24,22,20,18,3,24
22,31,21,32,32,9,8,12,32
29,32,30,33,33,21,22,29,33
33,34,32,32,34,15,11,34,34
22,27,22,25,27,21,24,26,27
44,43,36,36,44,20,11,36,44
25,28,16,28,24,17,25,11,28
9,30,27,30,29,29,6,27,30
20,26,22,24,23,26,7,24,26
6,29,24,29,27,16,29,3,29
13,22,19,22,22,19,18,12,22
3,33,21,32,32,13,25,32,33
32,35,23,35,34,34,18,32,35
28,27,22,29,25,11,11,13,29
31,33,24,31,33,16,25,27,33
29,33,20,28,32,15,28,31,33
25,38,29,39,40,21,13,36,40
38,38,33,36,38,22,35,38,38
17,33,32,33,32,12,12,27,33
18,22,22,22,21,9,22,17,22
35,34,26,37,37,37,13,30,37
21,25,25,24,23,23,11,1,25
24,35,27,34,35,19,9,2,35
33,33,29,34,32,34,11,11,34
30,42,38,38,41,38,40,36,42
23,32,31,31,32,25,12,31,32
22,31,28,30,31,12,24,28,31
26,29,24,29,29,11,8,26,29
7,32,32,32,32,11,10,22,32
27,32,23,32,33,16,13,29,33
11,41,21,39,39,23,31,29,41
31,32,15,33,32,24,17,3,33
29,30,30,30,31,18,12,30,31
17,39,21,42,40,19,8,20,42
19,23,22,23,21,11,11,19,23
13,33,30,33,32,16,24,5,33
39,46,47,46,48,8,31,4,48
31,39,37,33,40,11,22,37,40
8,29,28,26,26,23,21,26,29
26,25,27,25,27,20,14,25,27
18,40,40,38,42,42,28,26,42
25,27,25,22,22,23,20,27,27
16,39,21,39,39,15,27,35,39
13,36,22,35,35,14,10,25,36
29,31,28,29,32,13,12,14,32
28,30,27,25,29,6,14,22,30
35,35,29,37,39,18,39,21,39
5,36,12,34,35,19,25,27,36
13,32,29,29,33,22,14,2,33
26,33,25,30,33,20,21,29,33
3,29,29,30,27,14,26,28,30
16,28,29,28,27,12,13,19,29
26,29,27,27,30,28,11,12,30
32,32,26,33,33,15,11,24,33
33,35,36,38,38,38,20,35,38
46,51,21,50,51,30,31,29,51
28,44,23,46,47,16,9,40,47
12,31,18,31,31,25,25,6,31
7,27,26,26,28,24,26,9,28
12,26,22,25,27,17,9,3,27
39,41,40,41,42,37,18,39,42
37,42,34,38,42,29,27,18,42
27,28,27,25,27,12,9,2,28
36,37,21,35,38,19,30,32,38
24,24,24,24,23,15,6,23,24
20,28,18,29,30,30,6,10,30
41,43,32,38,42,28,14,7,43
20,45,39,50,50,21,22,47,50
16,25,16,25,25,9,4,18,25
8,23,19,23,23,16,6,19,23
9,38,38,38,38,16,10,20,38
25,31,32,32,30,29,28,6,32
23,28,25,25,28,14,15,25,28
