colour,epoch
Blue,13
Brown,24
Green,20
Grey,24
Orange,25
Purple,11
Red,18
Yellow,24
Blue,37
Brown,40
Green,33
Grey,40
Orange,41
Purple,26
Red,14
Yellow,12
Blue,25
Brown,33
Green,31
Grey,31
Orange,34
Purple,30
Red,28
Yellow,12
Blue,38
Brown,30
Green,25
Grey,30
Orange,38
Purple,12
Red,9
Yellow,23
Blue,29
Brown,29
Green,26
Grey,30
Orange,30
Purple,17
Red,29
Yellow,26
Blue,31
Brown,29
Green,20
Grey,32
Orange,33
Purple,14
Red,15
Yellow,31
Blue,35
Brown,33
Green,35
Grey,33
Orange,35
Purple,19
Red,14
Yellow,33
Blue,39
Brown,42
Green,17
Grey,37
Orange,41
Purple,17
Red,10
Yellow,33
Blue,40
Brown,46
Green,46
Grey,48
Orange,48
Purple,15
Red,14
Yellow,30
Blue,24
Brown,29
Green,27
Grey,31
Orange,26
Purple,22
Red,20
Yellow,12
Blue,16
Brown,35
Green,35
Grey,31
Orange,35
Purple,17
Red,33
Yellow,34
Blue,23
Brown,30
Green,30
Grey,31
Orange,31
Purple,10
Red,8
Yellow,30
Blue,26
Brown,38
Green,18
Grey,40
Orange,39
Purple,24
Red,14
Yellow,29
Blue,18
Brown,28
Green,26
Grey,23
Orange,27
Purple,14
Red,12
Yellow,25
Blue,20
Brown,31
Green,26
Grey,30
Orange,30
Purple,18
Red,14
Yellow,1
Blue,6
Brown,35
Green,27
Grey,34
Orange,35
Purple,23
Red,24
Yellow,5
Blue,27
Brown,30
Green,27
Grey,24
Orange,30
Purple,16
Red,11
Yellow,28
Blue,38
Brown,36
Green,20
Grey,37
Orange,38
Purple,13
Red,13
Yellow,12
Blue,10
Brown,32
Green,26
Grey,31
Orange,33
Purple,21
Red,8
Yellow,24
Blue,22
Brown,35
Green,31
Grey,29
Orange,37
Purple,15
Red,15
Yellow,33
Blue,23
Brown,33
Green,29
Grey,30
Orange,32
Purple,27
Red,16
Yellow,33
Blue,19
Brown,23
Green,23
Grey,24
