Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
22,35,18,36,36,16,20,30,36
5,27,17,27,24,14,26,14,27
5,41,36,40,39,32,23,36,41
4,31,28,39,40,15,34,37,40
16,34,23,31,33,22,34,35,35
10,24,22,23,22,17,21,3,24
36,38,25,39,37,22,36,2,39
3,32,19,31,31,16,20,32,32
7,32,30,33,32,17,32,28,33
43,42,20,44,43,30,36,14,44
33,34,27,33,34,22,23,15,34
15,18,18,18,18,18,11,2,18
34,34,34,29,35,14,19,26,35
29,31,19,31,31,16,15,12,31
2,25,20,25,22,10,20,2,25
25,36,36,41,41,20,11,39,41
30,30,29,27,27,28,12,22,30
18,31,28,31,28,27,21,31,31
18,35,27,35,34,25,22,17,35
14,31,16,32,33,34,29,14,34
30,30,25,32,33,17,21,29,33
5,31,29,30,32,29,23,22,32
26,29,27,27,29,25,10,29,29
29,31,23,34,34,15,12,31,34
34,36,30,35,35,13,28,36,36
5,31,25,26,31,32,25,13,32
15,36,25,34,37,25,21,16,37
18,31,26,31,31,14,30,23,31
3,31,30,36,36,15,14,23,36
33,37,24,39,39,14,38,37,39
43,43,33,38,43,15,15,39,43
29,29,29,29,28,12,25,4,29
24,25,19,24,25,19,18,19,25
25,41,40,40,39,36,35,31,41
15,31,23,30,28,19,27,21,31
8,24,14,21,23,16,15,3,24
29,28,27,27,29,19,21,22,29
7,30,22,30,29,15,30,21,30
34,38,31,39,37,26,39,35,39
27,30,31,31,28,16,29,27,31
24,31,25,29,29,18,27,14,31
33,33,23,34,34,15,21,10,34
53,53,34,50,54,13,21,36,54
35,39,39,37,37,28,35,12,39
20,28,24,30,31,26,30,31,31
15,28,16,29,28,29,27,23,29
36,36,35,35,34,12,17,16,36
45,45,27,45,41,14,13,39,45
31,30,30,30,28,27,8,22,31
18,38,37,38,38,32,9,27,38
28,29,18,30,30,11,8,14,30
28,31,27,28,30,8,14,23,31
38,41,28,44,43,31,22,37,44
15,29,28,30,31,19,23,18,31
45,45,37,44,46,12,45,44,46
21,34,28,37,38,20,39,17,39
12,31,19,24,31,18,25,16,31
14,30,20,32,31,21,4,28,32
26,33,27,35,34,23,11,11,35
30,30,30,30,31,13,15,15,31
6,28,30,32,31,27,17,12,32
32,32,28,30,32,12,31,18,32
14,33,27,34,34,33,25,26,34
21,40,33,34,38,16,31,33,40
23,25,20,26,21,17,19,22,26
20,34,16,35,35,15,16,31,35
15,23,18,23,21,14,9,22,23
29,31,21,30,30,18,14,29,31
24,26,29,23,28,27,12,29,29
30,32,20,31,31,26,27,32,32
33,33,29,33,32,26,16,19,33
24,27,18,24,26,21,17,27,27
44,48,26,53,52,32,34,50,53
40,39,37,41,42,23,28,39,42
2,21,21,20,20,15,11,3,21
36,37,30,38,40,33,21,34,40
25,25,24,24,25,18,8,20,25
2,40,24,40,39,16,27,40,40
19,29,26,32,27,24,23,29,32
20,26,26,26,24,18,18,19,26
30,38,24,35,38,18,18,37,38
22,27,23,27,26,24,12,25,27
47,47,37,48,49,15,14,35,49
7,28,29,29,29,20,19,2,29
29,34,20,32,30,14,21,28,34
30,35,31,35,32,17,9,26,35
30,44,38,43,44,34,17,33,44
4,32,24,29,31,15,4,19,32
10,30,28,29,30,22,17,29,30
22,29,20,25,29,25,16,2,29
31,31,31,28,30,13,12,23,31
23,34,23,28,27,10,9,3,34
3,27,19,23,24,23,20,14,27
17,25,23,24,24,20,15,11,25
7,36,23,31,36,29,14,3,36
24,27,18,27,27,12,20,27,27
29,47,25,37,46,30,14,40,47
27,32,26,29,32,20,10,26,32
21,31,19,27,29,18,12,31,31
5,34,30,39,38,21,22,38,39
23,29,26,27,27,18,18,15,29
9,32,22,32,30,18,23,32,32
33,38,31,34,38,17,32,23,38
5,28,28,27,29,9,10,5,29
16,41,20,43,41,32,16,36,43
32,36,33,36,34,24,15,32,36
2,36,28,36,36,27,28,25,36
25,34,21,26,29,10,8,9,34
9,30,23,29,32,26,6,24,32
28,28,19,27,28,24,16,16,28
24,27,25,27,28,17,7,17,28
31,32,32,28,30,17,23,12,32
23,23,23,23,17,12,19,10,23
28,27,26,28,26,21,21,27,28
16,31,27,28,30,25,9,14,31
43,41,36,43,42,32,24,29,43
32,43,40,42,43,16,11,31,43
27,27,16,27,24,22,12,10,27
4,39,26,41,43,11,37,40,43
30,34,28,34,33,12,16,12,34
34,40,34,42,41,21,7,36,42
20,23,22,23,22,17,23,23,23
10,34,19,34,34,15,17,30,34
4,33,26,26,32,8,8,13,33
17,31,20,32,32,33,28,23,33
37,37,23,38,38,26,12,2,38
22,29,23,28,29,17,12,15,29
25,31,22,31,31,18,16,12,31
18,28,11,28,28,15,24,14,28
2,36,25,37,37,13,16,33,37
26,33,27,32,32,16,16,23,33
24,27,23,24,27,20,9,20,27
2,27,17,25,24,15,7,25,27
28,32,24,30,32,19,18,25,32
12,33,24,31,32,16,19,33,33
34,33,30,34,35,16,34,29,35
36,36,34,35,32,28,28,32,36
