colour,epoch
Blue,22
Brown,35
Green,18
Grey,36
Orange,36
Purple,16
Red,20
Yellow,30
Blue,5
Brown,27
Green,17
Grey,27
Orange,24
Purple,14
Red,26
Yellow,14
Blue,5
Brown,41
Green,36
Grey,40
Orange,39
Purple,32
Red,23
Yellow,36
Blue,4
Brown,31
Green,28
Grey,39
Orange,40
Purple,15
Red,34
Yellow,37
Blue,16
Brown,34
Green,23
Grey,31
Orange,33
Purple,22
Red,34
Yellow,35
Blue,10
Brown,24
Green,22
Grey,23
Orange,22
Purple,17
Red,21
Yellow,3
Blue,36
Brown,38
Green,25
Grey,39
Orange,37
Purple,22
Red,36
Yellow,2
Blue,3
Brown,32
Green,19
Grey,31
Orange,31
Purple,16
Red,20
Yellow,32
Blue,7
Brown,32
Green,30
Grey,33
Orange,32
Purple,17
Red,32
Yellow,28
Blue,43
Brown,42
Green,20
Grey,44
Orange,43
Purple,30
Red,36
Yellow,14
Blue,33
Brown,34
Green,27
Grey,33
Orange,34
Purple,22
Red,23
Yellow,15
Blue,15
Brown,18
Green,18
Grey,18
Orange,18
Purple,18
Red,11
Yellow,2
Blue,34
Brown,34
Green,34
Grey,29
Orange,35
Purple,14
Red,19
Yellow,26
Blue,29
Brown,31
Green,19
Grey,31
Orange,31
Purple,16
Red,15
Yellow,12
Blue,2
Brown,25
Green,20
Grey,25
Orange,22
Purple,10
Red,20
Yellow,2
Blue,25
Brown,36
Green,36
Grey,41
Orange,41
Purple,20
Red,11
Yellow,39
Blue,30
Brown,30
Green,29
Grey,27
Orange,27
Purple,28
Red,12
Yellow,22
Blue,18
Brown,31
Green,28
Grey,31
Orange,28
Purple,27
Red,21
Yellow,31
Blue,18
Brown,35
Green,27
Grey,35
Orange,34
Purple,25
Red,22
Yellow,17
Blue,14
Brown,31
Green,16
Grey,32
Orange,33
Purple,34
Red,29
Yellow,14
Blue,30
Brown,30
Green,25
Grey,32
Orange,33
Purple,17
Red,21
Yellow,29
Blue,5
Brown,31
Green,29
Grey,30
Orange,32
Purple,29
Red,23
Yellow,22
Blue,26
Brown,29
Green,27
Grey,27
Orange,29
Purple,25
Red,10
Yellow,29
Blue,29
Brown,31
Green,23
Grey,34
Orange,34
Purple,15
Red,12
Yellow,31
Blue,34
Brown,36
Green,30
Grey,35
Orange,35
Purple,13
Red,28
Yellow,36
Blue,5
Brown,31
Green,25
Grey,26
Orange,31
Purple,32
Red,25
Yellow,13
Blue,15
Brown,36
Green,25
Grey,34
Orange,37
Purple,25
Red,21
Yellow,16
Blue,18
Brown,31
Green,26
Grey,31
Orange,31
Purple,14
Red,30
Yellow,23
Blue,3
Brown,31
Green,30
Grey,36
Orange,36
Purple,15
Red,14
Yellow,23
Blue,33
Brown,37
Green,24
Grey,39
Orange,39
Purple,14
Red,38
Yellow,37
Blue,43
Brown,43
Green,33
Grey,38
Orange,43
Purple,15
Red,15
Yellow,39
Blue,29
Brown,29
Green,29
Grey,29
Orange,28
Purple,12
Red,25
Yellow,4
Blue,24
Brown,25
Green,19
Grey,24
Orange,25
Purple,19
Red,18
Yellow,19
Blue,25
Brown,41
Green,40
Grey,40
Orange,39
Purple,36
Red,35
Yellow,31
Blue,15
Brown,31
Green,23
Grey,30
Orange,28
Purple,19
Red,27
Yellow,21
Blue,8
Brown,24
Green,14
Grey,21
Orange,23
Purple,16
Red,15
Yellow,3
Blue,29
Brown,28
Green,27
Grey,27
Orange,29
Purple,19
Red,21
Yellow,22
Blue,7
Brown,30
Green,22
Grey,30
Orange,29
Purple,15
Red,30
Yellow,21
Blue,34
Brown,38
Green,31
Grey,39
Orange,37
Purple,26
Red,39
Yellow,35
Blue,27
Brown,30
Green,31
Grey,31
Orange,28
Purple,16
Red,29
Yellow,27
Blue,24
Brown,31
Green,25
Grey,29
Orange,29
Purple,18
Red,27
Yellow,14
Blue,33
Brown,33
Green,23
Grey,34
Orange,34
Purple,15
Red,21
Yellow,10
Blue,53
Brown,53
Green,34
Grey,50
Orange,54
Purple,13
Red,21
Yellow,36
Blue,35
Brown,39
Green,39
Grey,37
Orange,37
Purple,28
Red,35
Yellow,12
Blue,20
Brown,28
Green,24
Grey,30
Orange,31
Purple,26
Red,30
Yellow,31
Blue,15
Brown,28
Green,16
Grey,29
Orange,28
Purple,29
Red,27
Yellow,23
Blue,36
Brown,36
Green,35
Grey,35
Orange,34
Purple,12
Red,17
Yellow,16
Blue,45
Brown,45
Green,27
Grey,45
Orange,41
Purple,14
Red,13
Yellow,39
Blue,31
Brown,30
Green,30
Grey,30
Orange,28
Purple,27
Red,8
Yellow,22
Blue,18
Brown,38
Green,37
Grey,38
Orange,38
Purple,32
Red,9
Yellow,27
Blue,28
Brown,29
Green,18
Grey,30
Orange,30
Purple,11
Red,8
Yellow,14
Blue,28
Brown,31
Green,27
Grey,28
Orange,30
Purple,8
Red,14
Yellow,23
Blue,38
Brown,41
Green,28
Grey,44
Orange,43
Purple,31
Red,22
Yellow,37
Blue,15
Brown,29
Green,28
Grey,30
Orange,31
Purple,19
Red,23
Yellow,18
Blue,45
Brown,45
Green,37
Grey,44
Orange,46
Purple,12
Red,45
Yellow,44
Blue,21
Brown,34
Green,28
Grey,37
Orange,38
Purple,20
Red,39
Yellow,17
Blue,12
Brown,31
Green,19
Grey,24
Orange,31
Purple,18
Red,25
Yellow,16
Blue,14
Brown,30
Green,20
Grey,32
Orange,31
Purple,21
Red,4
Yellow,28
Blue,26
Brown,33
Green,27
Grey,35
Orange,34
Purple,23
Red,11
Yellow,11
Blue,30
Brown,30
Green,30
Grey,30
Orange,31
Purple,13
Red,15
Yellow,15
Blue,6
Brown,28
Green,30
Grey,32
Orange,31
Purple,27
Red,17
Yellow,12
Blue,32
Brown,32
Green,28
Grey,30
Orange,32
Purple,12
Red,31
Yellow,18
Blue,14
Brown,33
Green,27
Grey,34
Orange,34
Purple,33
Red,25
Yellow,26
Blue,21
Brown,40
Green,33
Grey,34
Orange,38
Purple,16
Red,31
Yellow,33
Blue,23
Brown,25
Green,20
Grey,26
Orange,21
Purple,17
Red,19
Yellow,22
Blue,20
Brown,34
Green,16
Grey,35
Orange,35
Purple,15
Red,16
Yellow,31
Blue,15
Brown,23
Green,18
Grey,23
Orange,21
Purple,14
Red,9
Yellow,22
Blue,29
Brown,31
Green,21
Grey,30
Orange,30
Purple,18
Red,14
Yellow,29
Blue,24
Brown,26
Green,29
Grey,23
Orange,28
Purple,27
Red,12
Yellow,29
Blue,30
Brown,32
Green,20
Grey,31
Orange,31
Purple,26
Red,27
Yellow,32
Blue,33
Brown,33
Green,29
Grey,33
Orange,32
Purple,26
Red,16
Yellow,19
Blue,24
Brown,27
Green,18
Grey,24
Orange,26
Purple,21
Red,17
Yellow,27
Blue,44
Brown,48
Green,26
Grey,53
Orange,52
Purple,32
Red,34
Yellow,50
Blue,40
Brown,39
Green,37
Grey,41
Orange,42
Purple,23
Red,28
Yellow,39
Blue,2
Brown,21
Green,21
Grey,20
Orange,20
Purple,15
Red,11
Yellow,3
Blue,36
Brown,37
Green,30
Grey,38
Orange,40
Purple,33
Red,21
Yellow,34
Blue,25
Brown,25
Green,24
Grey,24
Orange,25
Purple,18
Red,8
Yellow,20
Blue,2
Brown,40
Green,24
Grey,40
Orange,39
Purple,16
Red,27
Yellow,40
Blue,19
Brown,29
Green,26
Grey,32
Orange,27
Purple,24
Red,23
Yellow,29
Blue,20
Brown,26
Green,26
